Name,Math,Science,English,History,Art
Student263,75,87,55,60,51
Student264,100,65,89,57,98
Student265,99,88,62,79,71
Student266,50,80,93,80,87
Student267,79,52,51,83,59
Student268,86,65,55,66,82
Student269,70,56,77,59,98
Student270,69,80,66,66,99
Student271,69,71,69,89,77
Student272,53,82,83,64,79
Student273,70,77,77,92,89
Student274,95,65,84,78,67
Student275,64,66,98,94,75
Student276,66,90,70,86,71
Student277,59,67,86,57,79
Student278,68,98,67,87,78
Student279,74,71,57,84,77
Student280,98,51,58,94,97
Student281,98,57,67,85,83
Student282,87,63,79,72,88
Student283,66,70,61,95,85
Student284,76,70,60,88,75
Student285,98,94,67,79,71
Student286,62,71,58,84,97
Student287,72,77,99,64,86
Student288,55,85,99,94,82
Student289,75,89,83,91,52
Student290,59,60,80,74,82
Student291,78,89,87,97,97
Student292,88,58,64,52,64
Student293,51,63,64,79,66
Student294,61,50,53,59,75
Student295,94,89,88,57,56
Student296,82,82,71,87,72
Student297,76,58,51,74,54
Student298,59,88,56,62,65
Student299,71,95,95,100,85
Student300,99,83,98,61,100
Student301,70,75,65,54,82
Student302,52,57,73,74,74
Student303,84,62,97,96,82
Student304,100,83,66,52,95
Student305,51,78,58,75,78
Student306,64,53,54,64,50
Student307,56,96,76,66,51
Student308,76,97,99,100,79
Student309,59,61,97,96,92
Student310,58,84,61,83,81
Student311,53,65,86,72,70
Student312,59,86,90,74,57
Student313,77,68,53,90,99
Student314,74,65,55,83,63
Student315,75,81,80,96,69
Student316,58,70,68,81,97
Student317,96,86,82,73,56
Student318,97,72,86,71,98
Student319,68,91,59,59,91
Student320,85,73,65,75,97
Student321,76,93,91,92,81
Student322,83,93,73,58,80
Student323,83,88,54,100,78
Student324,76,65,57,63,89
Student325,87,51,89,77,75
Student326,78,78,53,71,84
Student327,87,96,100,99,92
Student328,92,69,58,70,70
Student329,83,98,91,99,56
Student330,55,79,100,72,71
Student331,97,96,83,86,88
Student332,65,100,87,57,89
Student333,91,50,82,87,81
Student334,60,58,62,95,89
Student335,82,52,64,61,91
Student336,83,50,71,54,58
Student337,88,89,72,52,56
Student338,84,54,93,72,64
Student339,84,82,91,75,94
Student340,98,92,82,92,50
Student341,57,67,72,98,52
Student342,98,90,77,57,100
Student343,76,75,90,90,90
Student344,95,74,70,98,68
Student345,72,91,100,56,91
Student346,70,99,81,54,92
Student347,67,95,72,83,52
Student348,56,82,54,73,100
Student349,55,72,90,88,71
Student350,68,73,97,83,57
Student351,63,50,92,73,84
Student352,74,52,68,58,82
Student353,97,59,67,59,92
Student354,72,66,81,99,65
Student355,84,61,72,80,75
Student356,52,63,68,58,63
Student357,69,54,55,75,83
Student358,71,66,87,80,88
Student359,67,50,82,61,69
Student360,50,73,62,88,92
Student361,72,99,79,74,80
Student362,74,67,57,59,77
Student363,97,51,63,68,56
Student364,76,77,85,70,75
Student365,76,72,53,81,60
Student366,62,64,85,51,97
Student367,72,82,96,86,60
Student368,55,60,95,55,54
Student369,82,91,60,80,51
Student370,69,94,56,61,74
Student371,61,70,84,92,70
Student372,82,90,63,100,73
Student373,86,59,96,87,76
Student374,92,76,69,100,67
Student375,95,50,91,54,57
Student376,97,91,97,52,69
Student377,63,77,59,74,78
Student378,76,100,84,92,50
Student379,89,64,98,56,81
Student380,75,80,84,54,62
Student381,95,97,89,57,98
Student382,100,50,52,92,87
Student383,57,75,59,56,71
Student384,99,64,55,76,77
Student385,92,87,60,79,62
Student386,96,74,76,78,73
Student387,66,94,59,80,63
Student388,59,90,57,66,84
Student389,61,65,69,57,80
Student390,70,69,69,68,52
Student391,77,93,99,100,66
Student392,51,64,86,53,72
Student393,54,98,80,63,80
Student394,74,58,57,71,68
Student395,70,79,71,86,76
Student396,97,60,62,57,78
Student397,81,91,76,73,94
Student398,77,84,61,80,99
Student399,54,61,98,72,86
Student400,79,92,52,57,86
Student401,98,87,89,69,56
Student402,71,70,54,69,53
Student403,85,54,83,63,73
Student404,99,71,56,96,69
Student405,96,60,64,98,96
Student406,100,71,82,57,96
Student407,58,91,75,87,53
Student408,79,84,61,91,95
Student409,83,66,68,71,50
Student410,50,71,79,81,67
Student411,97,50,69,60,53
Student412,55,89,69,83,75
Student413,85,55,82,85,88
Student414,79,95,94,64,67
Student415,91,83,53,75,71
Student416,51,65,55,79,62
Student417,84,54,91,58,75
Student418,54,58,50,95,50
Student419,83,86,78,78,90
Student420,98,53,71,77,69
Student421,98,64,68,68,60
Student422,71,55,80,63,64
Student423,75,78,62,86,80
Student424,96,61,57,77,74
Student425,50,58,67,69,82
Student426,82,52,90,81,58
Student427,76,78,68,80,86
Student428,83,59,68,80,73
Student429,84,94,64,62,100
Student430,78,59,75,52,89
Student431,52,82,94,97,55
Student432,100,76,74,94,79
Student433,95,93,98,61,56
Student434,69,64,100,77,100
Student435,88,60,93,95,91
Student436,75,61,81,78,81
Student437,73,80,97,63,67
Student438,83,90,51,97,63
Student439,66,57,62,57,68
Student440,81,87,93,80,92
Student441,71,59,85,62,82
Student442,61,94,85,85,96
Student443,63,56,58,89,78
Student444,89,64,63,91,70
Student445,64,77,62,74,87
Student446,97,89,73,93,74
Student447,55,59,60,68,82
Student448,96,57,52,58,55
Student449,95,50,67,81,90
Student450,92,55,75,64,67
Student451,96,93,52,61,75
Student452,78,98,65,67,93
Student453,73,72,50,50,79
Student454,61,69,63,84,70
Student455,73,89,78,98,77
Student456,98,71,95,78,93
Student457,87,89,55,58,72
Student458,55,86,67,62,94
Student459,85,87,97,62,75
Student460,81,74,53,84,78
Student461,50,94,72,80,87
Student462,76,71,55,100,60
Student463,91,55,80,86,68
Student464,54,54,67,66,66
Student465,52,99,67,57,82
Student466,89,93,67,63,91
Student467,94,54,53,63,57
Student468,72,61,51,62,82
Student469,86,67,93,92,68
Student470,93,69,88,52,99
Student471,65,65,100,80,90
Student472,55,67,67,81,92
Student473,91,93,94,67,55
Student474,65,54,51,62,61
Student475,78,97,99,74,99
Student476,66,71,86,95,94
Student477,87,97,78,59,64
Student478,56,78,94,91,54
Student479,54,93,93,97,53
Student480,100,52,77,67,51
Student481,84,82,53,80,97
Student482,94,69,78,69,65
Student483,63,99,65,71,86
Student484,85,82,88,71,76
Student485,62,52,51,75,92
Student486,71,59,60,58,55
Student487,58,87,97,84,64
Student488,58,79,66,83,99
Student489,61,98,63,64,61
Student490,65,51,88,57,87
Student491,79,72,52,50,95
Student492,51,54,65,61,84
Student493,79,94,75,59,88
Student494,97,92,64,70,74
Student495,95,94,77,59,95
Student496,57,56,50,88,84
Student497,73,69,91,85,72
Student498,80,87,89,79,77
Student499,98,69,94,97,58
Student500,81,87,70,53,56
Student501,62,95,79,86,79
Student502,95,57,52,64,90
Student503,80,53,91,64,98
Student504,96,76,59,55,76
Student505,64,73,70,57,76
Student506,59,80,71,68,77
Student507,62,85,69,86,100
Student508,63,72,57,63,57
Student509,98,80,71,51,71
Student510,67,59,71,50,67
Student511,59,63,78,80,62
Student512,95,97,89,58,68
Student513,71,90,91,51,92
Student514,97,67,57,56,72
Student515,63,93,58,89,72
Student516,81,67,92,62,86
Student517,56,70,88,95,62
Student518,65,59,99,56,89
Student519,79,56,62,74,67
Student520,81,91,74,76,68
Student521,87,100,80,87,53
Student522,71,59,67,84,89
Student523,63,66,78,54,100
Student524,96,90,98,86,97
Student525,54,52,92,50,95
Student526,93,92,59,76,95
Student527,51,82,87,58,60
Student528,65,75,92,53,75
Student529,89,59,92,92,50
Student530,73,78,91,66,63
Student531,53,64,83,66,61
Student532,78,96,97,91,88
Student533,83,99,68,69,92
Student534,70,96,76,80,62
Student535,64,98,64,53,76
Student536,63,82,59,52,92
Student537,69,91,89,74,73
Student538,91,63,50,83,84
Student539,93,53,57,62,98
Student540,84,67,85,55,82
Student541,93,85,95,59,85
Student542,85,94,98,72,75
Student543,95,77,74,81,88
Student544,69,73,92,57,80
Student545,81,72,64,91,92
Student546,90,67,57,88,50
Student547,61,50,67,93,59
Student548,74,50,78,79,80
Student549,81,68,89,51,74
Student550,84,61,70,62,93
Student551,53,74,87,55,81
Student552,61,71,56,68,86
Student553,82,53,55,97,55
Student554,59,86,91,79,72
Student555,93,58,73,91,76
Student556,81,52,94,73,62
Student557,78,96,74,77,97
Student558,68,97,96,54,55
Student559,64,71,67,68,100
Student560,73,92,80,86,93
Student561,83,83,55,87,90
Student562,84,87,55,72,80
Student563,91,94,56,92,71
Student564,52,82,69,84,78
Student565,60,94,70,70,94
Student566,80,64,86,82,53
Student567,76,57,99,56,64
Student568,79,51,71,90,97
Student569,93,95,51,97,66
Student570,65,72,85,80,79
Student571,87,56,66,54,87
Student572,87,76,86,53,82
Student573,97,55,86,60,94
Student574,84,95,51,97,61
Student575,86,100,60,73,50
Student576,52,97,66,52,73
Student577,94,59,52,79,88
Student578,63,60,69,64,68
Student579,54,62,92,67,95
Student580,81,58,93,97,66
Student581,57,56,53,85,96
Student582,89,91,59,100,62
Student583,76,53,61,71,56
Student584,95,57,96,65,65
Student585,50,75,92,96,52
Student586,86,81,74,95,53
Student587,58,51,89,91,85
Student588,68,94,100,87,51
Student589,77,73,95,71,75
Student590,58,83,81,53,81
Student591,89,69,91,76,75
Student592,78,77,76,50,64
Student593,99,85,83,86,64
Student594,55,55,94,79,55
Student595,61,67,83,60,60
Student596,87,62,57,89,64
Student597,84,74,76,76,66
Student598,98,83,62,69,68
Student599,68,64,85,69,89
Student600,85,92,69,61,73
Student601,66,89,76,72,93
Student602,64,88,51,60,53
Student603,81,51,63,78,82
Student604,73,96,91,66,68
Student605,83,94,96,95,67
Student606,71,90,75,94,56
Student607,80,62,69,95,52
Student608,70,98,52,96,81
Student609,68,87,79,91,89
Student610,95,67,85,86,99
Student611,78,68,83,76,93
Student612,62,64,66,55,83
Student613,82,94,86,84,82
Student614,65,50,89,73,73
Student615,62,55,87,61,66
Student616,52,89,52,53,75
Student617,95,71,77,84,50
Student618,72,96,70,66,96
Student619,92,82,87,61,70
Student620,87,74,90,97,81
Student621,77,64,67,86,52
Student622,87,71,79,64,58
Student623,77,50,97,50,94
Student624,79,54,50,79,86
Student625,71,85,92,62,55
Student626,93,82,61,85,60
Student627,100,73,65,67,86
Student628,67,85,60,99,81
Student629,77,63,82,71,51
Student630,93,76,71,70,78
Student631,81,56,75,68,53
Student632,79,81,53,99,84
Student633,89,52,63,88,86
Student634,75,65,76,80,96
Student635,52,63,98,85,85
Student636,71,61,66,71,89
Student637,82,86,62,62,54
Student638,100,99,74,77,78
Student639,74,98,57,94,52
Student640,75,55,54,72,76
Student641,62,88,80,79,51
Student642,90,83,65,61,74
Student643,56,54,67,99,55
Student644,69,51,90,55,74
Student645,82,93,88,63,60
Student646,67,92,70,71,79
Student647,55,77,50,51,74
Student648,68,81,64,74,91
Student649,95,52,79,60,93
Student650,67,56,62,60,94
Student651,56,79,88,85,77
Student652,78,72,88,59,58
Student653,89,50,74,90,75
Student654,63,70,62,95,92
Student655,88,73,78,50,51
Student656,75,63,87,63,66
Student657,89,86,85,91,58
Student658,69,51,69,74,58
Student659,61,70,94,98,77
Student660,73,71,66,62,97
Student661,87,95,80,90,80
Student662,50,96,69,84,73
Student663,67,76,77,98,54
Student664,60,54,72,61,60
Student665,62,71,62,87,89
Student666,51,100,88,53,92
Student667,90,78,94,65,52
Student668,52,53,85,88,69
Student669,61,74,59,97,53
Student670,92,70,82,93,89
Student671,79,71,81,65,68
Student672,68,97,57,76,71
Student673,100,82,53,80,89
Student674,63,86,73,94,90
Student675,81,68,76,78,60
Student676,61,95,72,84,84
Student677,53,57,95,67,72
Student678,77,57,94,84,90
Student679,95,82,82,88,73
Student680,83,88,67,54,76
Student681,58,98,59,60,50
Student682,61,90,70,54,74
Student683,99,58,65,99,74
Student684,78,80,95,79,76
Student685,92,74,81,99,62
Student686,56,54,66,98,51
Student687,89,84,80,93,99
Student688,64,58,98,67,58
Student689,85,100,78,86,72
Student690,59,82,55,93,62
Student691,100,93,56,98,91
Student692,63,78,56,51,61
Student693,58,97,80,76,62
Student694,52,60,69,68,63
Student695,91,89,87,74,51
Student696,77,57,56,98,53
Student697,83,57,80,76,71
Student698,64,99,80,81,84
Student699,57,60,82,53,99
Student700,81,52,79,87,87
Student701,99,94,90,81,62
Student702,52,89,56,83,59
Student703,72,58,51,99,67
Student704,65,64,62,65,56
Student705,61,61,58,96,70
Student706,69,61,99,65,71
Student707,62,58,63,70,55
Student708,83,63,87,89,82
Student709,60,93,64,55,62
Student710,64,76,70,54,99
Student711,58,58,95,92,99
Student712,94,61,65,77,85
Student713,90,54,58,65,55
Student714,98,75,82,54,91
Student715,80,63,65,65,54
Student716,50,57,88,90,89
Student717,93,76,70,71,100
Student718,55,78,82,85,95
Student719,64,91,74,59,87
Student720,84,82,52,86,80
Student721,83,82,99,87,73
Student722,91,76,50,81,50
Student723,57,71,84,81,97
Student724,54,55,75,60,80
Student725,86,88,60,71,57
Student726,86,69,61,65,61
Student727,87,91,96,80,58
Student728,63,83,60,77,76
Student729,75,54,64,53,68
Student730,66,58,84,79,78
Student731,94,50,52,85,51
Student732,85,95,76,88,67
Student733,100,94,62,90,72
Student734,55,55,63,71,71
Student735,81,50,69,80,83
Student736,88,94,73,82,66
Student737,78,56,69,75,59
Student738,66,92,82,50,78
Student739,53,87,89,58,59
Student740,57,81,68,67,72
Student741,54,56,67,55,78
Student742,50,75,87,62,96
Student743,68,79,55,51,82
Student744,78,72,57,74,91
Student745,85,92,61,55,85
Student746,83,94,94,85,54
Student747,99,87,74,75,74
Student748,91,69,80,69,71
Student749,86,73,82,64,52
Student750,69,95,61,85,53
Student751,64,67,78,88,87
Student752,56,89,97,69,73
Student753,54,63,87,58,74
Student754,98,51,77,91,64
Student755,53,51,86,53,66
Student756,100,96,70,71,52
Student757,71,74,64,78,81
Student758,59,93,66,89,97
Student759,88,98,52,78,50
Student760,80,54,85,69,63
Student761,50,72,54,64,68
Student762,70,72,74,71,77
Student763,97,79,77,92,93
Student764,60,52,84,92,61
Student765,59,51,55,50,82
Student766,75,71,65,83,78
Student767,95,79,84,95,87
Student768,61,62,70,70,65
Student769,59,91,50,62,90
Student770,82,95,90,63,52
Student771,92,80,95,100,69
Student772,94,87,73,92,71
Student773,51,71,79,52,79
Student774,81,77,71,51,94
Student775,62,78,71,71,74
Student776,97,54,93,82,93
Student777,74,71,68,72,52
Student778,82,82,91,99,78
Student779,77,77,66,55,68
Student780,87,68,63,91,55
Student781,84,54,98,56,93
Student782,53,71,59,79,95
Student783,58,72,66,69,91
Student784,78,90,69,59,98
Student785,89,82,95,87,82
Student786,84,90,88,80,60
Student787,89,80,51,62,62
Student788,96,59,100,71,73
Student789,74,80,91,98,69
Student790,84,71,60,63,73
Student791,89,78,54,59,50
Student792,51,96,74,64,95
Student793,72,80,60,82,94
Student794,74,63,77,91,75
Student795,64,75,99,58,79
Student796,52,50,91,95,62
Student797,87,79,92,91,96
Student798,94,71,97,67,71
Student799,72,99,78,89,84
Student800,58,70,87,79,54
Student801,80,63,92,53,98
Student802,92,60,69,55,77
Student803,93,60,81,67,84
Student804,72,68,98,55,100
Student805,55,86,87,95,50
Student806,80,74,76,69,98
Student807,100,83,84,96,54
Student808,50,55,73,89,90
Student809,93,76,53,66,75
Student810,62,52,57,63,86
Student811,55,91,84,71,59
Student812,50,79,94,87,65
Student813,95,95,76,72,61
Student814,70,89,83,55,80
Student815,83,69,70,51,76
Student816,72,66,59,60,98
Student817,72,94,94,96,65
Student818,59,58,79,91,100
Student819,78,74,56,100,79
Student820,89,87,78,71,99
Student821,93,52,55,91,73
Student822,65,85,70,97,93
Student823,58,56,88,74,53
Student824,99,65,84,52,51
Student825,66,50,55,84,94
Student826,74,85,60,99,79
Student827,76,68,74,87,85
Student828,72,69,90,85,66
Student829,86,76,73,76,70
Student830,75,79,92,88,94
Student831,82,83,53,51,99
Student832,73,89,65,89,61
Student833,88,84,62,77,92
Student834,83,60,96,50,88
Student835,85,80,73,85,89
Student836,88,55,61,50,84
Student837,54,98,59,92,93
Student838,99,85,97,66,56
Student839,86,72,98,90,59
Student840,100,53,52,78,94
Student841,67,76,63,75,89
Student842,98,67,75,88,58
Student843,92,96,73,68,67
Student844,86,97,83,61,58
Student845,54,67,55,69,88
Student846,64,62,66,61,91
Student847,97,85,78,61,84
Student848,51,71,60,51,98
Student849,70,66,71,59,76
Student850,64,62,89,76,68
Student851,63,50,85,53,92
Student852,100,75,52,79,97
Student853,93,74,69,74,55
Student854,65,69,68,70,93
Student855,87,75,61,78,64
Student856,62,61,91,59,96
Student857,90,83,94,66,52
Student858,73,57,85,60,100
Student859,100,77,82,76,65
Student860,53,59,61,73,56
Student861,81,75,64,86,91
Student862,74,79,64,84,97
Student863,86,88,74,82,73
Student864,59,81,85,96,66
Student865,94,72,52,53,92
Student866,98,58,82,95,61
Student867,88,52,87,63,81
Student868,79,50,76,89,51
Student869,75,71,65,84,82
Student870,71,87,87,75,72
Student871,92,84,59,71,82
Student872,78,50,52,58,68
Student873,78,80,85,53,50
Student874,61,52,50,75,79
Student875,63,56,88,87,83
Student876,67,58,65,73,97
Student877,84,55,75,56,90
Student878,74,79,82,64,91
Student879,84,69,61,68,57
Student880,55,77,76,93,55
Student881,60,66,78,77,61
Student882,87,99,55,65,60
Student883,64,59,71,50,83
Student884,98,65,92,66,62
Student885,65,100,76,81,91
Student886,65,85,78,97,65
Student887,72,85,69,72,89
Student888,74,60,68,97,56
Student889,95,58,88,61,58
Student890,62,50,68,78,88
Student891,78,94,79,85,58
Student892,77,60,93,62,68
Student893,79,61,58,86,67
Student894,73,79,94,86,100
Student895,71,100,98,55,85
Student896,95,96,85,66,80
Student897,70,85,59,86,60
Student898,72,100,59,81,95
Student899,87,67,76,66,60
Student900,64,92,56,84,50
Student901,77,85,100,55,99
Student902,64,80,61,65,100
Student903,93,82,66,82,68
Student904,67,90,84,72,100
Student905,78,88,53,80,53
Student906,65,72,68,87,98
Student907,76,68,62,72,72
Student908,93,71,83,57,58
Student909,54,66,52,64,77
Student910,78,82,96,94,82
Student911,57,97,75,80,67
Student912,68,66,80,98,97
Student913,70,70,87,60,68
Student914,63,98,50,82,52
Student915,56,94,55,80,60
Student916,99,51,74,84,50
Student917,70,73,55,78,88
Student918,50,65,59,70,81
Student919,93,90,61,57,93
Student920,59,88,85,67,99
Student921,65,86,54,78,84
Student922,65,52,74,53,65
Student923,88,87,77,58,63
Student924,89,57,62,97,54
Student925,76,56,89,59,75
Student926,70,97,90,74,53
Student927,51,67,56,98,100
Student928,77,71,59,78,67
Student929,90,93,90,50,79
Student930,73,94,59,66,70
Student931,97,61,92,59,51
Student932,70,95,78,50,94
Student933,93,97,54,59,88
Student934,98,64,78,55,51
Student935,57,93,73,77,76
Student936,84,65,65,81,64
Student937,60,94,63,51,84
Student938,76,76,97,82,98
Student939,99,97,63,73,60
Student940,57,50,68,83,69
Student941,75,74,79,79,96
Student942,98,59,90,52,51
Student943,57,89,100,100,90
Student944,68,57,98,90,79
Student945,84,71,93,70,61
Student946,75,87,58,100,75
Student947,92,76,71,63,62
Student948,82,50,88,89,74
Student949,51,56,80,58,75
Student950,70,94,70,70,64
Student951,82,99,51,90,93
Student952,76,63,69,58,78
Student953,66,90,66,67,62
Student954,93,82,97,78,71
Student955,62,94,51,59,58
Student956,64,75,77,90,84
Student957,93,52,73,86,76
Student958,50,54,94,76,59
Student959,63,98,64,93,72
Student960,65,84,87,53,62
Student961,60,96,65,74,97
Student962,72,85,55,79,100
Student963,94,92,59,78,53
Student964,98,80,82,69,90
Student965,53,93,92,70,90
Student966,87,66,89,57,66
Student967,58,53,53,81,89
Student968,81,90,72,80,54
Student969,60,80,82,95,99
Student970,85,87,94,91,59
Student971,81,89,62,98,81
Student972,97,73,54,62,62
Student973,70,82,88,77,83
Student974,66,63,97,56,85
Student975,77,64,70,57,66
Student976,66,68,73,89,70
Student977,77,99,76,53,99
Student978,92,77,89,77,84
Student979,52,52,75,79,90
Student980,72,85,63,90,67
Student981,57,58,82,64,52
Student982,95,87,69,82,96
Student983,87,85,100,90,98
Student984,54,52,75,81,66
Student985,90,81,69,77,93
Student986,73,84,61,60,60
Student987,83,86,80,94,82
Student988,76,89,80,71,65
Student989,52,71,53,66,93
Student990,51,99,63,93,99
Student991,74,50,85,99,95
Student992,81,62,92,52,87
Student993,82,98,80,62,89
Student994,61,94,62,73,54
Student995,70,62,64,50,59
Student996,59,57,71,98,59
Student997,54,66,50,91,90
